match_index,variant_id,team_name,paradigm,winner,eliminations,mean_survival_time,shots_hit,shots_missed,shot_accuracy,remaining_agents,match_duration_seconds
420,420,Equipe 3,CTDE-Comm,0,2,0.20000000000000004,2,1,0.6666666666666666,0,6.799999999999992
430,430,Equipe 1,CTDE-VD,1,3,57.299999999999635,3,30,0.09090909090909091,2,84.89999999999945
430,430,Equipe 2,CTDE-CAC,0,1,0.8666666666666666,1,4,0.2,0,84.89999999999945
430,430,Equipe 3,CTDE-Comm,0,2,31.766666666666477,2,16,0.1111111111111111,1,84.89999999999945
440,440,Equipe 1,CTDE-VD,0,1,2.7333333333333343,1,13,0.07142857142857142,0,72.60000000000015
440,440,Equipe 2,CTDE-CAC,1,2,49.2000000000001,2,11,0.15384615384615385,2,72.60000000000015
440,440,Equipe 3,CTDE-Comm,0,3,24.466666666666715,3,6,0.3333333333333333,1,72.60000000000015
450,450,Equipe 1,CTDE-VD,0,0,2.9666666666666646,0,22,0.0,0,6.499999999999993
450,450,Equipe 2,CTDE-CAC,0,1,0.2333333333333333,1,3,0.25,0,6.499999999999993
450,450,Equipe 3,CTDE-Comm,1,6,4.366666666666662,6,13,0.3157894736842105,2,6.499999999999993
