match_index,time_seconds,team_name,paradigm,alive_agents,cumulative_eliminations,cumulative_accuracy,cumulative_win_rate,obstacle_count
10,4.2,Equipe 1,CTDE-VD,2,21,0.0945945945945946,0.2222222222222222,8
10,4.2,Equipe 2,CTDE-CAC,2,25,0.09615384615384616,0.4444444444444444,8
10,4.2,Equipe 3,CTDE-Comm,2,25,0.12953367875647667,0.3333333333333333,8
10,4.3,Equipe 1,CTDE-VD,2,21,0.0945945945945946,0.2222222222222222,8
10,4.3,Equipe 2,CTDE-CAC,2,25,0.09615384615384616,0.4444444444444444,8
10,4.3,Equipe 3,CTDE-Comm,2,25,0.12953367875647667,0.3333333333333333,8
10,4.4,Equipe 1,CTDE-VD,2,21,0.0945945945945946,0.2222222222222222,8
10,4.4,Equipe 2,CTDE-CAC,2,25,0.09578544061302682,0.4444444444444444,8
10,4.4,Equipe 3,CTDE-Comm,2,25,0.12953367875647667,0.3333333333333333,8
10,4.5,Equipe 1,CTDE-VD,2,21,0.0945945945945946,0.2222222222222222,8
10,4.5,Equipe 2,CTDE-CAC,2,25,0.09578544061302682,0.4444444444444444,8
10,4.5,Equipe 3,CTDE-Comm,2,25,0.12953367875647667,0.3333333333333333,8
10,4.6,Equipe 1,CTDE-VD,2,21,0.0945945945945946,0.2222222222222222,8
10,4.6,Equipe 2,CTDE-CAC,2,25,0.09578544061302682,0.4444444444444444,8
10,4.6,Equipe 3,CTDE-Comm,2,25,0.12886597938144329,0.3333333333333333,8
10,4.7,Equipe 1,CTDE-VD,2,21,0.09417040358744394,0.2222222222222222,8
10,4.7,Equipe 2,CTDE-CAC,2,25,0.09578544061302682,0.4444444444444444,8
10,4.7,Equipe 3,CTDE-Comm,2,25,0.1282051282051282,0.3333333333333333,8
10,4.8,Equipe 1,CTDE-VD,2,21,0.09375,0.2222222222222222,8
10,4.8,Equipe 2,CTDE-CAC,2,25,0.09578544061302682,0.4444444444444444,8
10,4.8,Equipe 3,CTDE-Comm,2,25,0.1282051282051282,0.3333333333333333,8
10,4.9,Equipe 1,CTDE-VD,2,21,0.09375,0.2222222222222222,8
10,4.9,Equipe 2,CTDE-CAC,2,25,0.09541984732824428,0.4444444444444444,8
10,4.9,Equipe 3,CTDE-Comm,2,25,0.1282051282051282,0.3333333333333333,8
10,5.0,Equipe 1,CTDE-VD,2,21,0.09375,0.2222222222222222,8
10,5.0,Equipe 2,CTDE-CAC,2,25,0.09541984732824428,0.4444444444444444,8
10,5.0,Equipe 3,CTDE-Comm,2,25,0.1282051282051282,0.3333333333333333,8
10,5.1,Equipe 1,CTDE-VD,2,21,0.09375,0.2222222222222222,8
10,5.1,Equipe 2,CTDE-CAC,2,25,0.09505703422053231,0.4444444444444444,8
10,5.1,Equipe 3,CTDE-Comm,2,25,0.1282051282051282,0.3333333333333333,8
10,5.2,Equipe 1,CTDE-VD,2,21,0.09375,0.2222222222222222,8
10,5.2,Equipe 2,CTDE-CAC,2,25,0.09505703422053231,0.4444444444444444,8
10,5.2,Equipe 3,CTDE-Comm,2,25,0.1282051282051282,0.3333333333333333,8
10,5.3,Equipe 1,CTDE-VD,2,21,0.09375,0.2222222222222222,8
10,5.3,Equipe 2,CTDE-CAC,2,25,0.09505703422053231,0.4444444444444444,8
10,5.3,Equipe 3,CTDE-Comm,2,25,0.1282051282051282,0.3333333333333333,8
10,5.4,Equipe 1,CTDE-VD,1,21,0.09375,0.2222222222222222,8
10,5.4,Equipe 2,CTDE-CAC,2,26,0.09848484848484848,0.4444444444444444,8
10,5.4,Equipe 3,CTDE-Comm,2,25,0.1282051282051282,0.3333333333333333,8
10,5.5,Equipe 1,CTDE-VD,1,21,0.09375,0.2222222222222222,8
10,5.5,Equipe 2,CTDE-CAC,2,26,0.09848484848484848,0.4444444444444444,8
10,5.5,Equipe 3,CTDE-Comm,2,25,0.12755102040816327,0.3333333333333333,8
10,5.6,Equipe 1,CTDE-VD,1,21,0.09292035398230089,0.2222222222222222,8
10,5.6,Equipe 2,CTDE-CAC,2,26,0.09848484848484848,0.4444444444444444,8
10,5.6,Equipe 3,CTDE-Comm,2,25,0.12755102040816327,0.3333333333333333,8
10,5.7,Equipe 1,CTDE-VD,1,21,0.09292035398230089,0.2222222222222222,8
10,5.7,Equipe 2,CTDE-CAC,2,26,0.09848484848484848,0.4444444444444444,8
10,5.7,Equipe 3,CTDE-Comm,2,25,0.12755102040816327,0.3333333333333333,8
10,5.8,Equipe 1,CTDE-VD,1,21,0.09292035398230089,0.2222222222222222,8
10,5.8,Equipe 2,CTDE-CAC,2,26,0.09811320754716982,0.4444444444444444,8
10,5.8,Equipe 3,CTDE-Comm,2,25,0.12690355329949238,0.3333333333333333,8
10,5.9,Equipe 1,CTDE-VD,1,21,0.09292035398230089,0.2222222222222222,8
10,5.9,Equipe 2,CTDE-CAC,2,26,0.09811320754716982,0.4444444444444444,8
10,5.9,Equipe 3,CTDE-Comm,2,25,0.12690355329949238,0.3333333333333333,8
10,6.0,Equipe 1,CTDE-VD,1,21,0.09292035398230089,0.2222222222222222,8
10,6.0,Equipe 2,CTDE-CAC,2,26,0.09774436090225563,0.4444444444444444,8
10,6.0,Equipe 3,CTDE-Comm,2,25,0.12690355329949238,0.3333333333333333,8
10,6.1,Equipe 1,CTDE-VD,1,21,0.09292035398230089,0.2222222222222222,8
10,6.1,Equipe 2,CTDE-CAC,2,26,0.09774436090225563,0.4444444444444444,8
10,6.1,Equipe 3,CTDE-Comm,2,25,0.12626262626262627,0.3333333333333333,8
10,6.2,Equipe 1,CTDE-VD,1,21,0.09292035398230089,0.2222222222222222,8
10,6.2,Equipe 2,CTDE-CAC,2,26,0.09774436090225563,0.4444444444444444,8
10,6.2,Equipe 3,CTDE-Comm,2,25,0.12626262626262627,0.3333333333333333,8
10,6.3,Equipe 1,CTDE-VD,1,21,0.09292035398230089,0.2222222222222222,8
10,6.3,Equipe 2,CTDE-CAC,2,26,0.09774436090225563,0.4444444444444444,8
10,6.3,Equipe 3,CTDE-Comm,2,25,0.12562814070351758,0.3333333333333333,8
10,6.4,Equipe 1,CTDE-VD,1,21,0.09292035398230089,0.2222222222222222,8
10,6.4,Equipe 2,CTDE-CAC,2,27,0.10112359550561797,0.4444444444444444,8
10,6.4,Equipe 3,CTDE-Comm,1,25,0.12562814070351758,0.3333333333333333,8
10,6.5,Equipe 1,CTDE-VD,1,21,0.09251101321585903,0.2222222222222222,8
10,6.5,Equipe 2,CTDE-CAC,2,27,0.10112359550561797,0.4444444444444444,8
10,6.5,Equipe 3,CTDE-Comm,1,25,0.12562814070351758,0.3333333333333333,8
10,6.6,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,6.6,Equipe 2,CTDE-CAC,2,28,0.1044776119402985,0.4444444444444444,8
10,6.6,Equipe 3,CTDE-Comm,1,25,0.12562814070351758,0.3333333333333333,8
10,6.7,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,6.7,Equipe 2,CTDE-CAC,2,28,0.1044776119402985,0.4444444444444444,8
10,6.7,Equipe 3,CTDE-Comm,1,25,0.12562814070351758,0.3333333333333333,8
10,6.8,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
10,6.8,Equipe 2,CTDE-CAC,1,28,0.1044776119402985,0.4444444444444444,8
10,6.8,Equipe 3,CTDE-Comm,1,26,0.13,0.3333333333333333,8
10,6.9,Equipe 1,CTDE-VD,0,21,0.09251101321585903,0.2222222222222222,8
