match_index,agent_id,team_name,paradigm,kills,shots_hit,shots_missed,survival_time,alive_at_end
240,1-1,Equipe 1,CTDE-VD,0,0,10,5.399999999999997,0
240,1-2,Equipe 1,CTDE-VD,0,0,6,3.700000000000002,0
240,1-3,Equipe 1,CTDE-VD,0,0,5,2.800000000000001,0
240,2-1,Equipe 2,CTDE-CAC,3,3,6,5.399999999999997,1
240,2-2,Equipe 2,CTDE-CAC,3,3,7,5.399999999999997,1
240,2-3,Equipe 2,CTDE-CAC,0,0,10,5.399999999999997,1
240,3-1,Equipe 3,CTDE-Comm,0,0,10,4.899999999999999,0
240,3-2,Equipe 3,CTDE-Comm,0,0,8,3.900000000000002,0
240,3-3,Equipe 3,CTDE-Comm,0,0,9,4.699999999999999,0
250,1-1,Equipe 1,CTDE-VD,1,1,7,4.000000000000002,0
250,1-2,Equipe 1,CTDE-VD,0,0,0,0.1,0
250,1-3,Equipe 1,CTDE-VD,0,0,2,0.6,0
250,2-1,Equipe 2,CTDE-CAC,0,0,3,1.0999999999999999,0
250,2-2,Equipe 2,CTDE-CAC,1,1,9,4.000000000000002,1
250,2-3,Equipe 2,CTDE-CAC,2,2,3,4.000000000000002,1
250,3-1,Equipe 3,CTDE-Comm,2,2,2,1.5000000000000002,0
250,3-2,Equipe 3,CTDE-Comm,1,1,4,1.9000000000000006,0
250,3-3,Equipe 3,CTDE-Comm,0,0,5,1.8000000000000005,0
260,1-1,Equipe 1,CTDE-VD,0,0,7,4.200000000000001,0
260,1-2,Equipe 1,CTDE-VD,0,0,4,7.899999999999988,0
260,1-3,Equipe 1,CTDE-VD,0,0,8,5.699999999999996,0
260,2-1,Equipe 2,CTDE-CAC,1,1,5,2.9000000000000012,0
260,2-2,Equipe 2,CTDE-CAC,0,0,4,1.7000000000000004,0
260,2-3,Equipe 2,CTDE-CAC,0,0,1,0.30000000000000004,0
260,3-1,Equipe 3,CTDE-Comm,2,2,7,7.899999999999988,1
260,3-2,Equipe 3,CTDE-Comm,3,3,12,7.899999999999988,1
260,3-3,Equipe 3,CTDE-Comm,1,1,0,0.30000000000000004,0
270,1-1,Equipe 1,CTDE-VD,0,0,1,0.7999999999999999,0
270,1-2,Equipe 1,CTDE-VD,1,1,6,3.3000000000000016,0
270,1-3,Equipe 1,CTDE-VD,0,0,4,1.8000000000000005,0
270,2-1,Equipe 2,CTDE-CAC,2,2,8,4.799999999999999,0
270,2-2,Equipe 2,CTDE-CAC,0,0,8,4.799999999999999,1
270,2-3,Equipe 2,CTDE-CAC,0,0,9,4.300000000000001,0
270,3-1,Equipe 3,CTDE-Comm,1,1,1,0.7999999999999999,0
270,3-2,Equipe 3,CTDE-Comm,1,1,7,3.800000000000002,0
270,3-3,Equipe 3,CTDE-Comm,3,3,7,4.799999999999999,0
280,1-1,Equipe 1,CTDE-VD,1,1,1,6.699999999999992,1
280,1-2,Equipe 1,CTDE-VD,1,1,2,1.5000000000000002,0
280,1-3,Equipe 1,CTDE-VD,1,1,10,6.699999999999992,1
280,2-1,Equipe 2,CTDE-CAC,1,1,1,0.7999999999999999,0
280,2-2,Equipe 2,CTDE-CAC,0,0,1,0.5,0
280,2-3,Equipe 2,CTDE-CAC,0,0,1,0.30000000000000004,0
280,3-1,Equipe 3,CTDE-Comm,1,1,10,6.699999999999992,0
280,3-2,Equipe 3,CTDE-Comm,2,2,1,1.5000000000000002,0
280,3-3,Equipe 3,CTDE-Comm,0,0,2,0.7999999999999999,0
290,1-1,Equipe 1,CTDE-VD,3,3,9,9.299999999999983,0
290,1-2,Equipe 1,CTDE-VD,0,0,6,3.700000000000002,0
290,1-3,Equipe 1,CTDE-VD,0,0,6,4.300000000000001,0
290,2-1,Equipe 2,CTDE-CAC,1,1,8,9.299999999999983,1
290,2-2,Equipe 2,CTDE-CAC,1,1,10,9.299999999999983,1
290,2-3,Equipe 2,CTDE-CAC,0,0,11,6.5999999999999925,0
290,3-1,Equipe 3,CTDE-Comm,0,0,4,2.0000000000000004,0
290,3-2,Equipe 3,CTDE-Comm,0,0,9,5.399999999999997,0
290,3-3,Equipe 3,CTDE-Comm,2,2,6,4.699999999999999,0
300,1-1,Equipe 1,CTDE-VD,0,0,8,13.599999999999968,0
300,1-2,Equipe 1,CTDE-VD,1,1,8,14.199999999999966,0
300,1-3,Equipe 1,CTDE-VD,0,0,9,14.299999999999965,1
300,2-1,Equipe 2,CTDE-CAC,3,3,7,14.299999999999965,0
300,2-2,Equipe 2,CTDE-CAC,1,1,0,0.30000000000000004,0
300,2-3,Equipe 2,CTDE-CAC,1,1,2,1.4000000000000001,0
300,3-1,Equipe 3,CTDE-Comm,0,0,1,0.2,0
300,3-2,Equipe 3,CTDE-Comm,2,2,1,1.4000000000000001,0
300,3-3,Equipe 3,CTDE-Comm,0,0,1,0.30000000000000004,0
310,1-1,Equipe 1,CTDE-VD,2,2,7,4.899999999999999,0
310,1-2,Equipe 1,CTDE-VD,2,2,69,42.500000000000334,0
310,1-3,Equipe 1,CTDE-VD,1,1,20,12.69999999999997,0
310,2-1,Equipe 2,CTDE-CAC,0,0,38,42.600000000000335,1
310,2-2,Equipe 2,CTDE-CAC,0,0,1,0.4,0
310,2-3,Equipe 2,CTDE-CAC,0,0,1,0.30000000000000004,0
310,3-1,Equipe 3,CTDE-Comm,2,2,69,42.600000000000335,0
310,3-2,Equipe 3,CTDE-Comm,0,0,13,7.899999999999988,0
310,3-3,Equipe 3,CTDE-Comm,1,1,8,4.899999999999999,0
320,1-1,Equipe 1,CTDE-VD,2,2,1,0.8999999999999999,0
320,1-2,Equipe 1,CTDE-VD,0,0,3,1.0999999999999999,1
320,1-3,Equipe 1,CTDE-VD,1,1,1,1.0999999999999999,1
320,2-1,Equipe 2,CTDE-CAC,2,2,0,0.7999999999999999,0
320,2-2,Equipe 2,CTDE-CAC,0,0,1,0.1,0
320,2-3,Equipe 2,CTDE-CAC,1,1,1,1.0999999999999999,0
320,3-1,Equipe 3,CTDE-Comm,1,1,0,0.1,0
320,3-2,Equipe 3,CTDE-Comm,0,0,1,0.2,0
320,3-3,Equipe 3,CTDE-Comm,0,0,2,0.6,0
330,1-1,Equipe 1,CTDE-VD,2,2,6,5.099999999999998,0
330,1-2,Equipe 1,CTDE-VD,1,1,9,21.90000000000004,1
330,1-3,Equipe 1,CTDE-VD,2,2,7,20.30000000000002,0
330,2-1,Equipe 2,CTDE-CAC,0,0,3,1.3,0
330,2-2,Equipe 2,CTDE-CAC,2,2,8,16.99999999999997,0
330,2-3,Equipe 2,CTDE-CAC,1,1,11,21.90000000000004,0
330,3-1,Equipe 3,CTDE-Comm,0,0,6,3.600000000000002,0
330,3-2,Equipe 3,CTDE-Comm,0,0,8,5.299999999999997,0
330,3-3,Equipe 3,CTDE-Comm,0,0,4,2.0000000000000004,0
340,1-1,Equipe 1,CTDE-VD,1,1,1,5.4999999999999964,1
340,1-2,Equipe 1,CTDE-VD,2,2,4,5.4999999999999964,1
340,1-3,Equipe 1,CTDE-VD,1,1,4,5.4999999999999964,1
340,2-1,Equipe 2,CTDE-CAC,1,1,0,0.2,0
340,2-2,Equipe 2,CTDE-CAC,0,0,6,2.9000000000000012,0
340,2-3,Equipe 2,CTDE-CAC,0,0,5,2.2000000000000006,0
340,3-1,Equipe 3,CTDE-Comm,0,0,9,5.4999999999999964,0
340,3-2,Equipe 3,CTDE-Comm,0,0,2,0.7999999999999999,0
340,3-3,Equipe 3,CTDE-Comm,1,1,0,0.2,0
350,1-1,Equipe 1,CTDE-VD,1,1,2,1.5000000000000002,0
350,1-2,Equipe 1,CTDE-VD,1,1,6,6.299999999999994,0
350,1-3,Equipe 1,CTDE-VD,0,0,4,2.700000000000001,0
350,2-1,Equipe 2,CTDE-CAC,0,0,1,0.4,0
350,2-2,Equipe 2,CTDE-CAC,3,3,4,3.900000000000002,0
350,2-3,Equipe 2,CTDE-CAC,0,0,2,0.9999999999999999,0
350,3-1,Equipe 3,CTDE-Comm,0,0,4,2.2000000000000006,0
350,3-2,Equipe 3,CTDE-Comm,0,0,1,1.6000000000000003,0
350,3-3,Equipe 3,CTDE-Comm,3,3,7,6.299999999999994,1
360,1-1,Equipe 1,CTDE-VD,1,1,1,2.400000000000001,0
360,1-2,Equipe 1,CTDE-VD,3,3,5,10.399999999999979,0
360,1-3,Equipe 1,CTDE-VD,0,0,1,1.0999999999999999,0
360,2-1,Equipe 2,CTDE-CAC,0,0,1,1.5000000000000002,0
360,2-2,Equipe 2,CTDE-CAC,0,0,1,2.700000000000001,0
360,2-3,Equipe 2,CTDE-CAC,1,1,9,7.19999999999999,0
360,3-1,Equipe 3,CTDE-Comm,0,0,0,10.399999999999979,1
360,3-2,Equipe 3,CTDE-Comm,1,1,7,10.399999999999979,1
360,3-3,Equipe 3,CTDE-Comm,1,1,7,6.5999999999999925,0
370,1-1,Equipe 1,CTDE-VD,0,0,1,0.30000000000000004,0
370,1-2,Equipe 1,CTDE-VD,0,0,1,0.1,0
370,1-3,Equipe 1,CTDE-VD,1,1,0,0.30000000000000004,0
370,2-1,Equipe 2,CTDE-CAC,1,1,2,1.5000000000000002,1
370,2-2,Equipe 2,CTDE-CAC,1,1,2,1.5000000000000002,1
370,2-3,Equipe 2,CTDE-CAC,2,2,1,1.5000000000000002,1
370,3-1,Equipe 3,CTDE-Comm,1,1,0,0.2,0
370,3-2,Equipe 3,CTDE-Comm,0,0,3,1.5000000000000002,0
370,3-3,Equipe 3,CTDE-Comm,0,0,2,0.7999999999999999,0
380,1-1,Equipe 1,CTDE-VD,3,3,11,8.699999999999985,0
380,1-2,Equipe 1,CTDE-VD,0,0,11,6.8999999999999915,0
380,1-3,Equipe 1,CTDE-VD,0,0,1,0.4,0
380,2-1,Equipe 2,CTDE-CAC,2,2,13,8.799999999999985,0
380,2-2,Equipe 2,CTDE-CAC,1,1,15,17.999999999999986,0
380,2-3,Equipe 2,CTDE-CAC,0,0,13,7.999999999999988,0
380,3-1,Equipe 3,CTDE-Comm,1,1,10,17.999999999999986,0
380,3-2,Equipe 3,CTDE-Comm,1,1,0,0.4,0
380,3-3,Equipe 3,CTDE-Comm,0,0,10,17.999999999999986,1
390,1-1,Equipe 1,CTDE-VD,1,1,2,1.4000000000000001,0
390,1-2,Equipe 1,CTDE-VD,4,4,1,18.499999999999993,0
390,1-3,Equipe 1,CTDE-VD,1,1,0,0.30000000000000004,0
390,2-1,Equipe 2,CTDE-CAC,1,1,0,18.499999999999993,0
390,2-2,Equipe 2,CTDE-CAC,1,1,1,6.199999999999994,0
390,2-3,Equipe 2,CTDE-CAC,0,0,1,17.999999999999986,0
390,3-1,Equipe 3,CTDE-Comm,1,1,0,0.30000000000000004,0
390,3-2,Equipe 3,CTDE-Comm,0,0,2,0.8999999999999999,0
390,3-3,Equipe 3,CTDE-Comm,0,0,2,0.8999999999999999,0
400,1-1,Equipe 1,CTDE-VD,0,0,10,14.199999999999966,0
400,1-2,Equipe 1,CTDE-VD,0,0,16,7.799999999999988,0
400,1-3,Equipe 1,CTDE-VD,0,0,11,13.799999999999967,0
400,2-1,Equipe 2,CTDE-CAC,2,2,19,24.70000000000008,0
400,2-2,Equipe 2,CTDE-CAC,1,1,8,3.5000000000000018,0
400,2-3,Equipe 2,CTDE-CAC,2,2,17,85.29999999999943,1
400,3-1,Equipe 3,CTDE-Comm,0,0,12,85.29999999999943,1
400,3-2,Equipe 3,CTDE-Comm,1,1,20,27.50000000000012,0
400,3-3,Equipe 3,CTDE-Comm,1,1,7,3.5000000000000018,0
410,1-1,Equipe 1,CTDE-VD,0,0,2,0.7999999999999999,0
410,1-2,Equipe 1,CTDE-VD,4,4,0,5.999999999999995,1
